Titre;Descriptif;Date début;Date fin;Durée (jours);Fréquentation visiteurs individuels;Fréquentation visiteurs groupes;Fréquentation totale;Salle;Organisateur
D’hommes et d’argent, orfèvrerie de Haute-Bretagne XV-XVIIIe;Les plus belles pièces d'orfèvrerie civile et religieuse réalisées par les maîtres orfèvres de Haute Bretagne du XVe au XVIIIe siècle.;24/10/2006;15/04/2007;173;;;14513;Rivière;Musée de Bretagne
Le roi Arthur, une légende en devenir;L’histoire culturelle du mythe arthurien. La naissance, le devenir et l'universalité de la légende du roi Arthur. En partenariat avec la bibliothèque nationale de France.;15/07/2008;01/04/2009;173;59537;8433;67970;Conti / Rivière / Creston;Direction des Champs Libres
Le Chat s'expose;L'univers et le parcours de Philippe Geluck et l'histoire de son personnage emblèmatique : le Chat.;28/03/2006;10/01/2006;187;36033;381;36414;Conti;Direction des Champs Libres
Mali au féminin;La culture malienne à travers les femmes, éléments moteur de la mutation de la société malienne.;16/03/2010;10/03/2010;201;20838;2508;23346;Rivière / Creston;Musée de Bretagne
Rennes en chansons;L'histoire musicale et chantée de Rennes, du 18e siècle à nos jours.;19/11/2010;13/03/2011;114;12692;817;13509;Rivière / Creston;Musée de Bretagne
La Bretagne fait son cinéma;Un panorama artistique et historique sur la façon dont le cinéma a filmé la Bretagne et comment il s'est développé dans la région.;03/03/2011;28/08/2011;178;7695;680;8375;Conti;Direction des Champs Libres
Beat Generation / Allen Ginsberg;L'univers du poète américain Allen Ginsberg, fondateur avec Jack Kerouac et William Burroughs de la Beat Generation. En partenariat avec le Centre Pompidou-Metz, Le Fresnoy  et le ZKM de Karlsruhe.;31/05/2013;09/01/2013;93;4344;0;4344;Conti;Direction des Champs Libres
La Mer pour Mémoire, archéologie sous-marine des épaves atlantiques;Près de 550 pièces majeures issues d’épaves prospectées lors des recherches archéologiques menées depuis 20 ans en Manche et en Atlantique. En partenariat avec l'association Buhez (Musées et écomusées de Bretagne) et du Ministère de la Culture.;21/11/2007;27/04/2008;158;;;18300;Rivière / Creston;Musée de Bretagne
Odorico, mosaïstes art déco;L’épopée économique et artistique de l'entreprise familiale Odorico, depuis l’émigration du nord de l’Italie jusqu’à la production florissante de mosaïque dans l’ouest de la France.;04/02/2009;01/03/2010;276;42890;10033;52923;Rivière / Creston;Musée de Bretagne
Dessins de presse à la Une;L’univers du dessin de presse qui informe, dénonce et interroge la société. En partenariat avec la fondation Cartooning for peace - Dessins pour la paix présidée par Plantu.;29/06/2010;01/09/2011;194;12469;3893;16362;Conti;Direction des Champs Libres
BDZH, 35 ans de BD en Bretagne;Les différentes étapes et les nombreux acteurs de l'histoire  de la bande dessinée en Bretagne après l'essor que lui a donné Jean-Claude Fournier au début des années 1970.;25/04/2006;19/08/2006;116;;;14700;Rivière;Direction des Champs Libres
Images d'Alice au pays des merveilles;"Les différents moments de la création d'""Alice au pays des merveilles"" depuis Lewis Carroll  jusqu'à neuf illustrateurs contemporains. Une incroyable richesse graphique et chromatique.";25/10/2011;03/10/2012;137;19041;2403;21444;Conti;Bibliothèque de Rennes Métropole
Peuples;Une centaine de photographies de Pierre de Vallombreuse  qui présente 14 peuples autochtones, leurs modes de vie et leurs croyances.;29/05/2007;30/09/2007;124;13090;244;13334;Rivière;Direction des Champs Libres
Temps perdu / Temps retrouvé;"Un double parcours au sein de Rennes Métropole et de l'oeuvre de Marcel Proust : des habitants lisent des extraits d’""A la Recherche du temps perdu"" devant la caméra de Véronique Aubouy.";17/02/2009;15/03/2009;26;4000;0;4000;Conti;Direction des Champs Libres
Soyons fouilles ! Découvertes archéologiques en Bretagne;Un regard inédit sur les dernières recherches archéologiques. Grâce aux nouvelles technologies, elles permettent de mieux comprendre le passé de la Bretagne. En partenariat avec le château de la Roche-Jagu (Conseil général des Côtes-d'Armor), l'Institut national des recherches archéologiques préventives et le service régional de l'archéologie (service de l'Etat).;16/12/2011;29/04/2012;135;17074;2170;19244;Rivière / Creston;Musée de Bretagne
Les Mécaniques Poétiques;Douze installations numériques interactives sonores et visuelles conçues à partir d'objets anciens détournés. Une plongée poétique dans l'univers de Yann Nguema du groupe EZ3kiel;27/11/2012;27/01/2013;61;11738;1042;12780;Conti;Direction des Champs Libres
Des habits et nous, vêtir nos identités;Une collection de vêtements d'aujourd'hui et de costumes régionaux qui interroge sur la signification du choix et du port d'un vêtement.;19/01/2007;20/05/2007;121;;;8014;Conti;Musée de Bretagne
Condemmed_bulbes;Une installation sonore et visuelle, du studio de création numérique Artificiel, constituée d'ampoules incandescentes de 1 000W.;10/09/2012;21/10/2012;12;2000;0;2000;Conti;Direction des Champs Libres
Horizon 2020;"Une mise en scène du pays de Rennes en 2020 qui fait participer le visiteur à la construction d'un ""avenir commun"".";11/10/2006;26/11/2006;16;12293;206;12499;Conti;Rennes Métropole
XYZT - Les paysages abstraits;Dix installations, créées par la compagnie Adrien M / Claire B, explorent des interactions inédites ou exploitent d'anciennes techniques d'illusions et déploient un territoire imaginaire.;13/03/2013;14/04/2013;32;5170;1127;6297;Conti;Direction des Champs Libres
Bernard Collet s’affiche au Musée de Bretagne;Le travail de Bernard Collet, affichiste et illustrateur contemporain, dont certaines images font partie des collections du musée de Bretagne.;15/02/2008;06/01/2008;107;9340;2125;11465;Creston;Musée de Bretagne
Les Bretons et l'argent;Une collection de plus de 300 objets met en valeur les comportements individuels et les pratiques collectives des Bretons à l’égard de l’argent.;05/10/2011;30/10/2011;173;16210;520;16730;Rivière / Creston;Musée de Bretagne
Travailler du chapeau, les métiers du chapelier et de la modiste;Une rétrospective de l'évolution de la chapellerie au cours du XXe siècle et une découverte des techniques de la fabrication du chapeau.;18/05/2007;11/10/2007;176;;;12473;Creston;Musée de Bretagne
Hommes racines;Le parcours photographique mené par Pierre de Vallombreuse à la rencontre de 11 peuples qui entretiennent un rapport singulier avec leur environnement.;26/04/2012;23/09/2012;150;6341;488;6829;Conti;Direction des Champs Libres
Images de chantier;L'histoire du chantier des Champs Libres vue par Alain Amet, photographe du musée de Bretagne.;28/03/2006;09/03/2006;159;;;9163;Creston;Musée de Bretagne
Voyager en couleurs;Un chapitre de l’histoire de la photographie : les premières photographies en couleur (sur plaque autochrome) prises en Bretagne de 1907 à 1929. En partenariat avec le musée départemental Albert-Kahn (Conseil général des Hauts-de-Seine).;07/10/2007;18/11/2007;131;8687;341;9028;Conti;Direction des Champs Libres
Pékin 66;40 photographies de la française Solange Brand qui a vécu en direct la révolution culturelle en Chine et montre la complexité de ces années pour le peuple chinois.;14/11/2006;14/02/2007;92;;;7918;Creston;Musée de Bretagne
Migrations Bretagne / Monde;Témoignages, documents et films d'archives éclairent les circonstances et le vécu des émigrés et des immigrés du début du XIXe siècle à nos jours en Bretagne.;15/03/2013;09/01/2013;170;11796;1218;13014;Rivière / Creston;Musée de Bretagne
Boat People, bateaux de l’exil;L’exode vietnamien de la fin des années 70 qui illustre la migration des réfugiés de la mer.;12/03/2009;05/02/2010;150;8671;620;9291;Conti;Musée de Bretagne
Germaine Tillion, ethnologue et résistante;Le parcours de Germaine Tillion, grande figure humaniste du XXe siècle connue pour son engagement précoce dans la résistance et ses positions pendant la guerre d'Algérie. En partenariat avec le Centre d'histoire de la résistance et de la déportation de Lyon, le musée de l'Homme et le musée du quai Branly.;24/01/2008;05/04/2008;101;9035;168;9203;Conti;Musée de Bretagne
Reflets de Bretagne - 160 ans de photographies inédites;300 tirages issus du fonds photographique du musée de Bretagne proposent une multitude de regards sur la Bretagne et son histoire.;29/06/2012;01/06/2013;191;19864;1415;21269;Rivière / Creston;Musée de Bretagne
6 milliards d'autres;5 000 interviews filmées dans 75 pays par les équipes de Yann Arthus-Bertrand pendant 4 ans. Une réflexion sur la diversité humaine et culturelle.;14/04/2009;30/08/2009;138;22555;809;23364;Conti;Direction des Champs Libres
